secteur_activite,revenu_mensuel_estime_fcfa,volume_flux_mobile_money_fcfa,solde_epargne_mobile_fcfa,retards_paiement_6mois,taux_endettement,membre_cooperative_tontine,nb_depots_suspects_24h,ratio_retrait_immediat,changement_sim_recent,defaut_paiement,est_fraude
Commercant_Informel,60000.0,49000.0,8000.0,0,0.64,1,1,0.77,0,0,1
Artisan,337000.0,260000.0,20000.0,0,0.8,1,0,0.28,0,1,0
Salarie_Prive,292000.0,201000.0,50000.0,1,0.58,0,1,0.71,0,1,1
Commercant_Informel,132000.0,158000.0,52000.0,1,0.4,1,1,0.41,0,1,0
Planteur_Cacao,584000.0,420000.0,69000.0,2,0.09,1,0,0.56,0,1,0
Planteur_Cacao,839000.0,919000.0,65000.0,0,0.79,1,0,0.93,0,0,0
Planteur_Cacao,649000.0,496000.0,47000.0,4,0.43,0,0,0.13,0,1,0
Fonctionnaire,465000.0,540000.0,60000.0,1,0.07,1,0,0.55,0,0,0
Salarie_Prive,589000.0,775000.0,104000.0,0,0.6,0,1,0.86,0,1,1
Salarie_Prive,628000.0,803000.0,212000.0,0,0.44,1,1,0.62,0,0,0
Planteur_Cacao,537000.0,677000.0,168000.0,1,0.15,1,0,0.35,0,0,0
Artisan,217000.0,149000.0,42000.0,1,0.22,0,0,0.45,0,1,0
Fonctionnaire,428000.0,252000.0,40000.0,1,0.1,1,0,0.71,0,0,0
Planteur_Cacao,389000.0,466000.0,155000.0,0,0.51,1,1,0.89,0,0,1
Planteur_Cacao,264000.0,229000.0,22000.0,3,0.55,1,2,0.14,0,1,1
Planteur_Cacao,349000.0,326000.0,65000.0,1,0.45,0,2,0.16,0,1,0
Planteur_Cacao,95000.0,51000.0,16000.0,0,0.7,0,0,0.39,0,1,0
Commercant_Informel,271000.0,206000.0,18000.0,3,0.74,0,1,0.31,0,1,0
Commercant_Informel,191000.0,102000.0,6000.0,1,0.54,0,1,0.34,1,1,1
Planteur_Cacao,201000.0,278000.0,99000.0,1,0.06,1,0,0.3,0,0,0
Salarie_Prive,527000.0,392000.0,59000.0,0,0.61,1,0,0.27,0,0,0
Planteur_Cacao,651000.0,688000.0,193000.0,1,0.38,0,0,0.22,0,1,0
Planteur_Cacao,565000.0,305000.0,9000.0,0,0.5,1,0,0.93,0,0,0
Commercant_Informel,139000.0,162000.0,46000.0,0,0.57,1,1,0.23,0,0,0
Commercant_Informel,191000.0,157000.0,22000.0,1,0.33,1,0,0.28,0,1,0
Salarie_Prive,641000.0,896000.0,37000.0,0,0.78,1,0,0.32,0,0,0
Planteur_Cacao,223000.0,310000.0,78000.0,0,0.16,0,0,0.93,0,0,0
Commercant_Informel,260000.0,214000.0,24000.0,0,0.59,1,0,0.77,0,0,0
Commercant_Informel,330000.0,462000.0,77000.0,2,0.05,1,0,0.8,0,0,0
Planteur_Cacao,226000.0,338000.0,17000.0,1,0.79,0,0,0.19,0,1,0
Salarie_Prive,516000.0,684000.0,52000.0,0,0.14,1,0,0.84,1,0,1
Planteur_Cacao,160000.0,215000.0,29000.0,0,0.13,1,0,0.46,0,0,0
Planteur_Cacao,292000.0,219000.0,12000.0,0,0.32,1,0,0.33,0,0,0
Artisan,219000.0,236000.0,86000.0,0,0.35,0,0,0.61,0,0,0
Artisan,104000.0,59000.0,1000.0,2,0.22,0,1,0.83,0,1,1
Fonctionnaire,455000.0,271000.0,55000.0,1,0.52,0,0,0.79,0,1,0
Planteur_Cacao,396000.0,594000.0,40000.0,2,0.4,0,0,0.89,0,1,0
Planteur_Cacao,499000.0,413000.0,57000.0,1,0.08,1,0,0.93,0,0,0
Salarie_Prive,534000.0,666000.0,248000.0,1,0.31,0,0,0.31,0,0,0
Commercant_Informel,403000.0,526000.0,43000.0,0,0.7,0,0,0.48,0,1,0
Planteur_Cacao,423000.0,574000.0,222000.0,1,0.6,1,0,0.11,0,0,0
Commercant_Informel,241000.0,361000.0,35000.0,0,0.63,1,0,0.88,1,0,1
Planteur_Cacao,422000.0,313000.0,94000.0,1,0.61,0,0,0.24,0,1,0
Artisan,233000.0,126000.0,29000.0,1,0.3,0,2,0.87,1,1,1
Planteur_Cacao,409000.0,372000.0,133000.0,1,0.13,0,0,0.39,0,0,0
Salarie_Prive,506000.0,319000.0,74000.0,0,0.27,0,2,0.43,0,0,1
Planteur_Cacao,274000.0,143000.0,32000.0,1,0.72,1,1,0.13,0,1,0
Commercant_Informel,220000.0,190000.0,18000.0,1,0.83,1,0,0.39,0,1,0
Commercant_Informel,154000.0,197000.0,16000.0,0,0.45,1,0,0.89,0,0,0
Planteur_Cacao,715000.0,762000.0,281000.0,1,0.06,1,0,0.12,1,0,1
Artisan,125000.0,102000.0,15000.0,1,0.16,0,0,0.46,0,1,0
Salarie_Prive,396000.0,457000.0,74000.0,0,0.31,1,0,0.13,0,0,0
Artisan,157000.0,115000.0,35000.0,0,0.51,1,1,0.43,0,0,0
Fonctionnaire,492000.0,253000.0,38000.0,0,0.11,1,0,0.25,0,0,0
Commercant_Informel,253000.0,320000.0,122000.0,2,0.8,1,0,0.32,0,1,0
Artisan,275000.0,309000.0,93000.0,1,0.34,1,0,0.88,0,0,0
Planteur_Cacao,279000.0,352000.0,87000.0,1,0.78,1,0,0.49,0,1,0
Planteur_Cacao,450000.0,243000.0,86000.0,2,0.67,1,1,0.34,0,1,0
Planteur_Cacao,250000.0,334000.0,13000.0,3,0.65,1,0,0.62,0,1,0
Planteur_Cacao,786000.0,880000.0,104000.0,1,0.54,0,1,0.23,0,1,0
Commercant_Informel,173000.0,184000.0,36000.0,0,0.55,1,1,0.33,0,0,0
Planteur_Cacao,456000.0,513000.0,54000.0,1,0.56,1,0,0.59,0,1,0
Fonctionnaire,471000.0,642000.0,194000.0,1,0.55,1,0,0.31,0,0,0
Commercant_Informel,317000.0,345000.0,127000.0,1,0.49,1,0,0.7,0,1,0
Planteur_Cacao,367000.0,396000.0,72000.0,0,0.84,1,0,0.54,0,1,0
Commercant_Informel,268000.0,400000.0,60000.0,0,0.64,0,1,0.79,0,0,1
Planteur_Cacao,408000.0,513000.0,198000.0,1,0.67,0,0,0.94,0,1,0
Fonctionnaire,408000.0,385000.0,73000.0,0,0.75,1,1,0.2,0,0,0
